source_fa	json_path	rank	record_index	score	header
/work/home/mayongze/ProteinMPNN_project/Graduation_Design/GroupC_fixed_micro_env/output_GroupC/seqs/1EMB.fa	/work/home/mayongze/ProteinMPNN_project/Graduation_Design/GroupC_fixed_micro_env/output_GroupC/af3_json_top10/1EMB/1EMB_rank01_score0.6054.json	1	17	0.6054	T=0.1, sample=16, score=0.6054, global_score=0.7149, seq_recovery=0.7286
/work/home/mayongze/ProteinMPNN_project/Graduation_Design/GroupC_fixed_micro_env/output_GroupC/seqs/1EMB.fa	/work/home/mayongze/ProteinMPNN_project/Graduation_Design/GroupC_fixed_micro_env/output_GroupC/af3_json_top10/1EMB/1EMB_rank02_score0.6207.json	2	10	0.6207	T=0.1, sample=9, score=0.6207, global_score=0.7291, seq_recovery=0.6985
/work/home/mayongze/ProteinMPNN_project/Graduation_Design/GroupC_fixed_micro_env/output_GroupC/seqs/1EMB.fa	/work/home/mayongze/ProteinMPNN_project/Graduation_Design/GroupC_fixed_micro_env/output_GroupC/af3_json_top10/1EMB/1EMB_rank03_score0.6221.json	3	15	0.6221	T=0.1, sample=14, score=0.6221, global_score=0.7254, seq_recovery=0.6985
/work/home/mayongze/ProteinMPNN_project/Graduation_Design/GroupC_fixed_micro_env/output_GroupC/seqs/1EMB.fa	/work/home/mayongze/ProteinMPNN_project/Graduation_Design/GroupC_fixed_micro_env/output_GroupC/af3_json_top10/1EMB/1EMB_rank04_score0.6341.json	4	5	0.6341	T=0.1, sample=4, score=0.6341, global_score=0.7355, seq_recovery=0.7236
/work/home/mayongze/ProteinMPNN_project/Graduation_Design/GroupC_fixed_micro_env/output_GroupC/seqs/1EMB.fa	/work/home/mayongze/ProteinMPNN_project/Graduation_Design/GroupC_fixed_micro_env/output_GroupC/af3_json_top10/1EMB/1EMB_rank05_score0.6376.json	5	16	0.6376	T=0.1, sample=15, score=0.6376, global_score=0.7435, seq_recovery=0.7236
/work/home/mayongze/ProteinMPNN_project/Graduation_Design/GroupC_fixed_micro_env/output_GroupC/seqs/1EMB.fa	/work/home/mayongze/ProteinMPNN_project/Graduation_Design/GroupC_fixed_micro_env/output_GroupC/af3_json_top10/1EMB/1EMB_rank06_score0.6386.json	6	9	0.6386	T=0.1, sample=8, score=0.6386, global_score=0.7401, seq_recovery=0.7236
/work/home/mayongze/ProteinMPNN_project/Graduation_Design/GroupC_fixed_micro_env/output_GroupC/seqs/1EMB.fa	/work/home/mayongze/ProteinMPNN_project/Graduation_Design/GroupC_fixed_micro_env/output_GroupC/af3_json_top10/1EMB/1EMB_rank07_score0.6470.json	7	2	0.647	T=0.1, sample=1, score=0.6470, global_score=0.7511, seq_recovery=0.7638
/work/home/mayongze/ProteinMPNN_project/Graduation_Design/GroupC_fixed_micro_env/output_GroupC/seqs/1EMB.fa	/work/home/mayongze/ProteinMPNN_project/Graduation_Design/GroupC_fixed_micro_env/output_GroupC/af3_json_top10/1EMB/1EMB_rank08_score0.6480.json	8	19	0.648	T=0.1, sample=18, score=0.6480, global_score=0.7531, seq_recovery=0.7337
/work/home/mayongze/ProteinMPNN_project/Graduation_Design/GroupC_fixed_micro_env/output_GroupC/seqs/1EMB.fa	/work/home/mayongze/ProteinMPNN_project/Graduation_Design/GroupC_fixed_micro_env/output_GroupC/af3_json_top10/1EMB/1EMB_rank09_score0.6498.json	9	7	0.6498	T=0.1, sample=6, score=0.6498, global_score=0.7544, seq_recovery=0.7538
/work/home/mayongze/ProteinMPNN_project/Graduation_Design/GroupC_fixed_micro_env/output_GroupC/seqs/1EMB.fa	/work/home/mayongze/ProteinMPNN_project/Graduation_Design/GroupC_fixed_micro_env/output_GroupC/af3_json_top10/1EMB/1EMB_rank10_score0.6533.json	10	18	0.6533	T=0.1, sample=17, score=0.6533, global_score=0.7542, seq_recovery=0.7136
/work/home/mayongze/ProteinMPNN_project/Graduation_Design/GroupC_fixed_micro_env/output_GroupC/seqs/1HUY.fa	/work/home/mayongze/ProteinMPNN_project/Graduation_Design/GroupC_fixed_micro_env/output_GroupC/af3_json_top10/1HUY/1HUY_rank01_score0.5791.json	1	19	0.5791	T=0.1, sample=18, score=0.5791, global_score=0.6847, seq_recovery=0.7282
/work/home/mayongze/ProteinMPNN_project/Graduation_Design/GroupC_fixed_micro_env/output_GroupC/seqs/1HUY.fa	/work/home/mayongze/ProteinMPNN_project/Graduation_Design/GroupC_fixed_micro_env/output_GroupC/af3_json_top10/1HUY/1HUY_rank02_score0.5848.json	2	11	0.5848	T=0.1, sample=10, score=0.5848, global_score=0.6907, seq_recovery=0.7184
/work/home/mayongze/ProteinMPNN_project/Graduation_Design/GroupC_fixed_micro_env/output_GroupC/seqs/1HUY.fa	/work/home/mayongze/ProteinMPNN_project/Graduation_Design/GroupC_fixed_micro_env/output_GroupC/af3_json_top10/1HUY/1HUY_rank03_score0.5852.json	3	10	0.5852	T=0.1, sample=9, score=0.5852, global_score=0.6997, seq_recovery=0.7233
/work/home/mayongze/ProteinMPNN_project/Graduation_Design/GroupC_fixed_micro_env/output_GroupC/seqs/1HUY.fa	/work/home/mayongze/ProteinMPNN_project/Graduation_Design/GroupC_fixed_micro_env/output_GroupC/af3_json_top10/1HUY/1HUY_rank04_score0.5891.json	4	14	0.5891	T=0.1, sample=13, score=0.5891, global_score=0.7025, seq_recovery=0.7233
/work/home/mayongze/ProteinMPNN_project/Graduation_Design/GroupC_fixed_micro_env/output_GroupC/seqs/1HUY.fa	/work/home/mayongze/ProteinMPNN_project/Graduation_Design/GroupC_fixed_micro_env/output_GroupC/af3_json_top10/1HUY/1HUY_rank05_score0.5894.json	5	3	0.5894	T=0.1, sample=2, score=0.5894, global_score=0.7015, seq_recovery=0.7233
