Seq_ID,Candidate_ID,Target,Rank,Predicted_Length_without_added_M,MPNN_score,WT_MPNN_score,CA_RMSD_excluding_chromophore,TM_score_approx_excluding_chromophore,pLDDT_mean,PAE_mean,Shell5_RMSD,Shell8_RMSD,Contact_F1,Clash_2A,Shell5_mutation_count,Design_File
1,4EUL_rank01_score0.5902,4EUL,1,229,0.5902,0.896,0.3044216994851678,0.997048410377114,95.63178004535148,2.0377033237352453,0.277138995301468,0.2779899236915775,0.9268292682926828,4,0,results/example_models/4EUL_rank01_score0.5902_model.pdb
2,4EUL_rank02_score0.5915,4EUL,2,229,0.5915,0.896,0.3036285847821303,0.9970683057749868,95.5268276249298,2.049991418927938,0.2980637157214882,0.2644528538065729,0.9,4,0,results/example_models/4EUL_rank02_score0.5915_model.pdb
3,4EUL_rank05_score0.6056,4EUL,5,229,0.6056,0.896,0.3042723397811551,0.9970503688107564,95.60350196739742,1.9866497587765295,0.3186104964570334,0.2838307270287094,0.8421052631578947,4,0,results/example_models/4EUL_rank05_score0.6056_model.pdb
4,4EUL_rank06_score0.6123,4EUL,6,229,0.6123,0.896,0.307141677276359,0.9970650280113476,94.83715239154616,2.169443755839896,0.2573426532088131,0.244188086991768,0.8780487804878048,5,0,results/example_models/4EUL_rank06_score0.6123_model.pdb
5,4EUL_rank07_score0.6176,4EUL,7,229,0.6176,0.896,0.3241610007640499,0.996677848767642,95.4835033632287,1.9733700730344577,0.3056037970964457,0.2658293269422169,0.8780487804878048,3,0,results/example_models/4EUL_rank07_score0.6176_model.pdb
6,4EUL_rank09_score0.6225,4EUL,9,229,0.6225,0.896,0.3164041479986604,0.9968139127040117,95.62161326587972,1.9786674548540264,0.3045644328595412,0.2716716882768091,0.8500000000000001,4,0,results/example_models/4EUL_rank09_score0.6225_model.pdb
